1;100
10;4600
100;49600
1000;499600
102;50600
11;5100
110;54600
111;55100
112;55600
113;56100
114;56600
115;57100
116;57600
117;58100
118;58600
119;59100
12;5600
121;60100
120;59600
122;60600
123;61100
124;61600
125;62100
126;62600
127;63100
128;63600
13;6100
130;64600
131;65100
132;65600
133;66100
134;66600
135;67100
136;67600
137;68100
138;68600
139;69100
14;6600
140;69600
141;70100
129;64100
142;70600
143;71100
144;71600
145;72100
146;72600
147;73100
148;73600
149;74100
15;7100
150;74600
151;75100
152;75600
153;76100
154;76600
156;77600
155;77100
157;78100
158;78600
159;79100
16;7600
160;79600
161;80100
162;80600
163;81100
165;82100
164;81600
167;83100
168;83600
169;84100
17;8100
170;84600
171;85100
166;82600
172;85600
173;86100
174;86600
175;87100
176;87600
179;89100
18;8600
180;89600
181;90100
182;90600
183;91100
109;54100
184;91600
185;92100
186;92600
187;93100
188;93600
189;94100
19;9100
190;94600
191;95100
192;95600
193;96100
194;96600
196;97600
195;97100
197;98100
198;98600
199;99100
2;600
200;99600
201;100100
202;100600
203;101100
204;101600
20;9600
205;102100
206;102600
207;103100
208;103600
209;104100
21;10100
210;104600
211;105100
108;53600
212;105600
178;88600
213;106100
214;106600
215;107100
216;107600
217;108100
218;108600
219;109100
22;10600
220;109600
221;110100
222;110600
223;111100
224;111600
225;112100
226;112600
227;113100
228;113600
229;114100
23;11100
230;114600
231;115100
232;115600
233;116100
234;116600
235;117100
236;117600
237;118100
238;118600
239;119100
24;11600
240;119600
241;120100
242;120600
243;121100
244;121600
245;122100
246;122600
247;123100
248;123600
249;124100
25;12100
250;124600
251;125100
252;125600
253;126100
254;126600
255;127100
256;127600
257;128100
258;128600
259;129100
26;12600
260;129600
261;130100
262;130600
263;131100
264;131600
265;132100
266;132600
267;133100
268;133600
269;134100
27;13100
270;134600
271;135100
272;135600
273;136100
274;136600
275;137100
276;137600
277;138100
278;138600
279;139100
28;13600
280;139600
281;140100
282;140600
283;141100
284;141600
285;142100
286;142600
